run,name,public_score,private_score
1,FixTimeBaseline,0.021,0.015
2,TimeRangeBaseline,0.004,0.003
3,DecisionTreeClassifier-V1,0.098,0.107
4,DecisionTreeClassifier-V2,0.112,0.124
5,DecisionTreeClassifier-V3,0.118,0.125
6,MLP-V1,0.051,0.047
7,MLP-V2,0.174,0.181
8,CNN-V1,0.412,0.441
9,CCN-V2,0.469,0.526
10,MLP-V3,0.401,0.446
11,Transformer-V1,0.363,0.416
12,Transformer-V2,0.415,0.48
13,RNN-V1,0.400,0.435
14,RNN-V2,0.461,0.511
15,RNN-V3,0.454,0.511
16,CNN-LSTM-V1,0.243,0.255
17,CNN-LSTM-V2,0.418,0.455
18,CNN-CP-V1,0.022,0.003
19,CNN-CP-V2,0.382,0.425
20,CNN-CP-V3,0.437,0.472
21,CNN-CP-V4,0.45,0.494
